[4:12];[7:3];[7:10];[7:14]
588.083;0;20.2691;0.0126892
588.449;0;20.2691;0.0149451
587.838;0;20.1968;0.0101514
587.594;0;20.1968;0.0126892
588.083;0;20.1389;0.0143811
587.96;0;20.1389;0.0143811
587.35;0;20.0955;0.0183289
587.228;0;20.0955;0.0183289
587.472;0;20.0521;0.0146631
588.937;0;20.0521;0.0180469
588.205;0;20.0231;0.0118433
589.181;0;20.0231;0.0101514
588.937;0;20.0666;0.00986938
588.083;0;20.0666;0.0152271
588.449;0;20.11;0.015791
588.327;0;20.11;0.0132532
587.228;0;20.1534;0.0180469
587.35;0;20.1534;0.0104333
587.106;0;20.1823;0.0135352
588.693;0;20.1823;0.0121252
588.205;0;20.1968;0.0109973
588.205;0;20.1968;0.016073
588.083;0;20.2257;0.0104333
587.96;0;20.2257;0.015509
587.838;0;20.2257;0.0172009
587.472;0;20.2257;0.0126892
587.106;0;20.2402;0.0180469
587.472;0;20.2402;0.0101514
586.74;0;20.2402;0.0135352
588.327;0;20.2402;0.0177649
587.716;0;20.2546;0.0104333
588.327;0;20.2546;0.0180469
588.327;0;20.2546;0.0112793
588.327;0;20.2546;0.0146631
588.327;0;20.2546;0.0180469
588.327;0;20.2546;0.0124072
587.228;0;20.2691;0.016355
587.96;0;20.2691;0.016355
586.862;0;20.2691;0.0126892
587.96;0;20.2691;0.0138171
588.327;0;20.2691;0.0143811
588.083;0;20.2691;0.0104333
587.96;0;20.2112;0.0121252
588.815;0;20.2112;0.0143811
588.205;0;20.1389;0.0183289
588.205;0;20.1389;0.0101514
586.984;0;20.0955;0.016355
588.327;0;20.0955;0.016355
586.984;0;20.0955;0.016355
588.205;0;20.0521;0.0124072
588.449;0;20.0521;0.0174829
588.205;0;20.0231;0.00986938
588.449;0;20.0087;0.0135352
588.693;0;20.0087;0.0107153
588.327;0;19.9797;0.0188928
588.205;0;19.9797;0.0104333
586.984;0;19.9797;0.016073
587.96;0;19.9797;0.0107153
586.74;0;19.9653;0.0124072
587.838;0;19.9653;0.015791
587.716;0;19.9653;0.00986938
587.96;0;19.9653;0.00986938
587.96;0;20.0231;0.0143811
588.327;0;20.0231;0.0132532
587.716;0;20.081;0.0183289
588.083;0;20.081;0.0149451
587.106;0;20.1244;0.015791
